STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,SNWD,Measurement Flag,Quality Flag,SNOW,Measurement Flag,Quality Flag
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121212,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121213,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121214,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121215,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121216,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121217,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121218,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121219,0.06, , ,2, , ,1.9, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121220,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130107,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130108,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130109,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130110,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130114,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130115,0,T, ,-9999, , ,-9999, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130116,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130117,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130118,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130124,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130125,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130129,0.23, , ,-9999, , ,2.1, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130130,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130131,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130201,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130204,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130205,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130206,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130207,0.22, , ,-9999, , ,0.2, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130208,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130211,0.01, , ,-9999, , ,0,T, 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130212,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130213,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130214,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130215,0.04, , ,-9999, , ,0,T, 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130220,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130221,0.33, , ,-9999, , ,4, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130222,0,T, ,-9999, , ,-9999, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130225,0.45, , ,-9999, , ,11.1, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130226,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130227,0.03, , ,-9999, , ,-9999, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130228,0, , ,-9999, , ,0, , 
